path,age
./data/UTKFace/116_1_2_20170112220255503.jpg.chip.jpg,10
./data/UTKFace/24_1_2_20170116171557699.jpg.chip.jpg,2
./data/UTKFace/10_0_1_20170110220507258.jpg.chip.jpg,1
./data/UTKFace/14_1_4_20170103201225838.jpg.chip.jpg,1
./data/UTKFace/31_1_0_20170105162529475.jpg.chip.jpg,3
./data/UTKFace/54_0_0_20170104212507413.jpg.chip.jpg,5
./data/UTKFace/1_0_2_20161219202906108.jpg.chip.jpg,0
./data/UTKFace/9_0_0_20170110220237634.jpg.chip.jpg,0
./data/UTKFace/17_1_4_20170104001810179.jpg.chip.jpg,1
./data/UTKFace/27_1_4_20170116211825926.jpg.chip.jpg,2
./data/UTKFace/69_0_0_20170104185333726.jpg.chip.jpg,6
./data/UTKFace/23_1_3_20170117144834977.jpg.chip.jpg,2
./data/UTKFace/1_1_0_20170109191142050.jpg.chip.jpg,0
./data/UTKFace/55_0_0_20170120222359871.jpg.chip.jpg,5
./data/UTKFace/29_1_0_20170116003521569.jpg.chip.jpg,2
./data/UTKFace/22_1_2_20170116220943302.jpg.chip.jpg,2
./data/UTKFace/30_1_0_20170117143843323.jpg.chip.jpg,3
./data/UTKFace/2_0_4_20170103205319954.jpg.chip.jpg,0
./data/UTKFace/30_1_2_20170116191305000.jpg.chip.jpg,3
./data/UTKFace/25_0_0_20170116215652482.jpg.chip.jpg,2
./data/UTKFace/40_1_0_20170116211621237.jpg.chip.jpg,4
./data/UTKFace/45_0_4_20170120134936535.jpg.chip.jpg,4
./data/UTKFace/22_1_3_20170119162920653.jpg.chip.jpg,2
./data/UTKFace/1_1_4_20161221201836401.jpg.chip.jpg,0
./data/UTKFace/18_0_3_20170117153126523.jpg.chip.jpg,1
./data/UTKFace/88_1_0_20170120225747122.jpg.chip.jpg,8
./data/UTKFace/32_0_2_20170116162124916.jpg.chip.jpg,3
./data/UTKFace/27_1_2_20170116162015711.jpg.chip.jpg,2
./data/UTKFace/1_0_2_20161219212535950.jpg.chip.jpg,0
./data/UTKFace/69_1_0_20170110122730511.jpg.chip.jpg,6
./data/UTKFace/41_0_4_20170104185252334.jpg.chip.jpg,4
./data/UTKFace/29_1_1_20170117190515909.jpg.chip.jpg,2
./data/UTKFace/21_0_4_20161223214838473.jpg.chip.jpg,2
./data/UTKFace/33_0_3_20170119200537548.jpg.chip.jpg,3
./data/UTKFace/40_1_0_20170116222704229.jpg.chip.jpg,4
./data/UTKFace/17_1_0_20170109213933756.jpg.chip.jpg,1
./data/UTKFace/32_0_0_20170105183653831.jpg.chip.jpg,3
./data/UTKFace/3_1_2_20161219151926867.jpg.chip.jpg,0
./data/UTKFace/24_1_4_20170117010442715.jpg.chip.jpg,2
./data/UTKFace/66_1_4_20170117091830720.jpg.chip.jpg,6
./data/UTKFace/26_0_3_20170117154554862.jpg.chip.jpg,2
./data/UTKFace/47_0_3_20170119201921580.jpg.chip.jpg,4
./data/UTKFace/2_1_0_20170109193728905.jpg.chip.jpg,0
./data/UTKFace/28_1_0_20170116200848585.jpg.chip.jpg,2
./data/UTKFace/70_0_0_20170117173727535.jpg.chip.jpg,7
./data/UTKFace/70_0_3_20170117191256001.jpg.chip.jpg,7
